Player,Age,Pos,Team,TOI Org ES,TOI Org PP,TOI Org PK,TOI ES,TOI PP,TOI PK,Total TOI,Goals,Assists,Points,PP Points,Hits,BLK,PIM,FOW,FOL,GV,TK,SOG,Value,VAR,Rank (VAR),Fantasy Team,Pts
Cale Makar,22,D,COL,17.56,3.68,0,17.56,3.68,0,21.24,10,31,41,17,46,48,13,0,0,42,27,128,514,570,77,,177.8
Thomas Chabot,24,D,OTT,21.98,3.23,0,21.98,3.23,0,25.21,7,30,37,13,60,74,27,0,0,45,32,149,575,631,63,,177.4
Kyle Palmieri,29,RW,NJ,13.6,3.18,0,13.6,3.18,0,16.77,20,19,39,18,67,31,29,13,31,23,25,139,488,486,95,,177.2
Nico Hischier,22,C,NJ,14.75,2.98,1.1,14.75,2.98,1.1,18.82,16,24,40,11,47,34,19,445,441,29,41,135,490,467,102,,176.6
Ryan Getzlaf,35,C,ANA,15.25,2.44,0.9,15.25,2.44,0.9,18.6,10,31,41,8,98,55,41,414,398,52,44,108,485,463,103,,176.6
Chris Kreider,29,LW,NYR,13.71,3.24,0,13.71,3.24,0,16.95,20,18,38,12,105,33,38,38,56,46,19,139,476,489,92,,175
Alexander Radulov,34,"LW,RW",DAL,14.18,2.52,0,14.18,2.52,0,16.7,16,23,39,12,44,44,44,4,7,41,25,122,472,484,98,,175
Seth Jones,26,D,CBJ,20.31,2.45,2.54,20.31,2.45,2.54,25.3,7,25,32,9,66,110,21,0,0,42,34,138,581,637,61,,174.6
Jamie Benn,31,"C,LW",DAL,13.63,2.32,0,13.63,2.32,0,15.95,18,20,38,10,112,43,32,182,147,43,36,125,466,479,100,,174.2
Sam Reinhart,25,"C,RW",BUF,16.78,3.46,0,16.78,3.46,0,20.24,17,23,40,10,28,26,12,37,60,28,20,134,462,459,104,,174.2
Nikolaj Ehlers,24,"LW,RW",WPG,15.1,1.43,0,15.1,1.43,0,16.54,18,21,39,5,26,20,22,2,2,29,25,156,485,498,88,,174.2
